violentcrimeratio,state,,homiciderat,raperat,agg_assaultrat,violentcomprat,robberyrat,prop_crimerat,burglaryrat,larcenyrat,veh_theftrat,propcomprat
0.1316,ME,,0.0019,0.0201,0.0809,0.0586,0.0241,2.7513,0.6318,1.9979,0.1217,1.1054
0.1334,VT,,0.002,0.0218,0.0889,0.0615,0.0158,2.8879,0.706,2.0544,0.1273,1.1583
0.1428,ND,,0.0018,0.0223,0.099,0.0665,0.0125,2.3802,0.3838,1.8286,0.1678,0.9546
0.155,NH,,0.0016,0.0275,0.0893,0.0683,0.0309,2.458,0.4817,1.8312,0.1451,0.9894
0.2298,SD,,0.0024,0.0363,0.1631,0.1079,0.019,2.2723,0.4444,1.7027,0.1252,0.9127
0.2462,WV,,0.0048,0.0179,0.1781,0.1118,0.0402,2.2282,0.5809,1.4805,0.1668,0.8993
0.2475,ID,,0.0025,0.0263,0.1927,0.1173,0.0183,2.7553,0.6002,2.0031,0.1521,1.1058
0.2535,UT,,0.0025,0.0307,0.1578,0.1111,0.0528,4.0124,0.6556,3.0729,0.2839,1.6155
0.2545,WI,,0.0034,0.0187,0.1441,0.1052,0.0834,3.0808,0.5724,2.2682,0.2402,1.249
0.2586,WY,,0.0035,0.0249,0.2059,0.1232,0.0181,3.1636,0.5269,2.4829,0.154,1.2691
0.2601,HI,,0.0031,0.0268,0.1275,0.1044,0.0952,4.7015,0.9123,3.3313,0.4579,1.8996
0.2685,IA,,0.0019,0.02,0.2012,0.1229,0.0402,3.0582,0.6771,2.2069,0.1742,1.2313
0.269,MT,,0.0034,0.0251,0.2078,0.1264,0.0246,3.4462,0.5241,2.6955,0.2267,1.3834
0.2698,MN,,0.0024,0.033,0.1438,0.1123,0.0848,3.2837,0.6658,2.362,0.2559,1.3304
0.2758,VA,,0.0062,0.0219,0.1509,0.1137,0.0919,2.8993,0.5212,2.1744,0.2037,1.1781
0.2945,KY,,0.0059,0.0251,0.1766,0.1255,0.0816,2.634,0.6912,1.7342,0.2087,1.0699
0.3026,NE,,0.0031,0.0257,0.2061,0.1344,0.0595,3.3202,0.5795,2.484,0.2567,1.34
0.31,RI,,0.0031,0.0258,0.1915,0.1326,0.0841,3.3929,0.8034,2.1241,0.4654,1.374
0.3246,MS,,0.0098,0.0305,0.1883,0.1383,0.092,3.2487,1.01,2.0082,0.2304,1.3179
0.3469,CT,,0.0039,0.0196,0.1776,0.137,0.1429,3.2735,0.7382,2.1386,0.3968,1.338
0.3718,OR,,0.0032,0.0336,0.2266,0.1588,0.1016,4.4621,0.9189,3.1328,0.4104,1.8051
0.3759,WA,,0.0037,0.0406,0.2212,0.1604,0.1038,4.6703,1.045,3.1587,0.4666,1.8889
0.3795,IN,,0.0062,0.0266,0.2336,0.1615,0.1082,3.4142,0.7675,2.3242,0.3225,1.3873
0.3813,PA,,0.0056,0.0233,0.2027,0.1532,0.1454,2.5215,0.5436,1.6981,0.2798,1.0377
0.3835,OH,,0.0053,0.035,0.1859,0.1524,0.1514,3.6311,0.8844,2.4231,0.3238,1.4828
0.3981,KS,,0.0047,0.0339,0.2742,0.1777,0.0785,3.8323,0.8743,2.6926,0.2654,1.5486
0.4022,CO,,0.0044,0.0381,0.2618,0.1766,0.0869,4.023,0.8342,2.8005,0.3883,1.6266
0.425,NJ,,0.0046,0.0188,0.2093,0.1644,0.1903,3.169,0.7102,2.0102,0.4487,1.3057
0.4632,NC,,0.0073,0.0226,0.3078,0.2002,0.1214,3.8606,1.1324,2.4884,0.2398,1.5685
0.486,AR,,0.0077,0.0342,0.3473,0.2188,0.0867,3.6623,0.9796,2.4427,0.24,1.4823
0.4913,OK,,0.0068,0.0369,0.3432,0.2196,0.0967,4.0981,1.142,2.5484,0.4078,1.6586
0.4951,GA,,0.0083,0.0269,0.292,0.2056,0.1632,4.1747,1.0088,2.7552,0.4107,1.7025
0.5105,AL,,0.0089,0.0281,0.3448,0.2231,0.1232,3.7541,0.9833,2.4872,0.2835,1.5263
0.5227,MA,,0.0029,0.025,0.3563,0.2267,0.1344,3.0487,0.7366,1.8193,0.4928,1.2463
0.5258,AZ,,0.0071,0.0309,0.3461,0.2275,0.1333,4.8502,1.0518,3.2113,0.5871,1.9667
0.5367,TX,,0.008,0.0348,0.3242,0.2259,0.1616,4.4379,1.0803,2.9044,0.4533,1.8075
0.5441,MO,,0.0081,0.0258,0.3577,0.234,0.1464,3.827,0.8734,2.5533,0.4003,1.5601
0.5787,DE,,0.0048,0.0442,0.3701,0.2494,0.1544,3.793,0.8092,2.6888,0.295,1.5481
0.5943,MI,,0.0079,0.0504,0.3617,0.2536,0.1653,3.8391,0.9173,2.4164,0.5053,1.5687
0.6414,TN,,0.008,0.0347,0.4318,0.279,0.1607,3.8243,1.0083,2.4184,0.3976,1.5619
0.6561,IL,,0.0081,0.0298,0.3721,0.2665,0.2406,3.6317,0.7982,2.435,0.3985,1.5008
0.6571,AK,,0.0073,0.0695,0.4621,0.299,0.0969,3.926,0.7052,2.8024,0.4184,1.5898
0.6612,NV,,0.0082,0.0403,0.3681,0.2695,0.2322,3.9001,1.0269,2.2773,0.5959,1.6065
0.6622,CA,,0.0078,0.0289,0.3872,0.2715,0.233,3.9171,0.9534,2.3279,0.6358,1.6135
0.6717,NY,,0.0072,0.0207,0.3216,0.2553,0.3183,3.1887,0.7202,2.0582,0.4103,1.3391
0.6996,LA,,0.0135,0.0321,0.4719,0.3043,0.1766,4.4696,1.1166,2.9633,0.3897,1.8231
0.7075,MD,,0.0093,0.0274,0.3967,0.2852,0.2699,3.8641,0.834,2.5605,0.4696,1.5996
0.7182,SC,,0.0084,0.037,0.5437,0.3268,0.1217,4.2098,1.0688,2.8119,0.329,1.7082
0.7241,NM,,0.0085,0.0455,0.5395,0.3294,0.1215,4.6026,1.2224,2.974,0.4062,1.8654
0.7525,FL,,0.0072,0.0358,0.4904,0.3215,0.2129,4.7713,1.2021,3.119,0.4501,1.9511
